round,region,country,country_in_filter,year,status,dataset.status,dataset.url,archive,extra_info,report_url
MICS3,East Asia and the Pacific,Lao People's Democratic Republic,Lao People's Democratic Republic,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2006/Datasets/Lao%20PDR%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Lao%20People%27s%20Democratic%20Republic/2006/Final/Lao%20PDR%202006%20MICS_English.pdf
MICS3,East Asia and the Pacific,Mongolia,Mongolia,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Mongolia/2005/Datasets/Mongolia%202005%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Mongolia/2005/Archive/mongolia-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Mongolia/2005/Final/Mongolia%202005%20MICS_English.pdf
MICS3,East Asia and the Pacific,Thailand,Thailand,2005-2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Thailand/2005-2006/Datasets/Thailand%202005-06%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Thailand/2005-2006/Archive/thailand-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Thailand/2005-2006/Final/Thailand%202005-06%20MICS_English.pdf
MICS3,East Asia and the Pacific,Vanuatu,Vanuatu,2007-2008,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Vanuatu/2007-2008/Datasets/Vanuatu%202007%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Vanuatu/2007-2008/Final/Vanuatu%202007%20MICS_English.pdf
MICS3,East Asia and the Pacific,Viet Nam,Viet Nam,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2006/Datasets/Viet%20Nam%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2006/Archive/vietnam-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/East%20Asia%20and%20the%20Pacific/Viet%20Nam/2006/Final/Viet%20Nam%202006%20MICS_English.pdf
MICS3,Eastern and Southern Africa,Burundi,Burundi,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Burundi/2005/Datasets/Burundi%202005%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Burundi/2005/Final/Burundi%202005%20MICS_French.pdf
MICS3,Eastern and Southern Africa,Malawi,Malawi,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Malawi/2006/Datasets/Malawi%202006%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Malawi/2006/Final/Malawi%202006%20MICS_English.pdf
MICS3,Eastern and Southern Africa,Mozambique,Mozambique,2008,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Mozambique/2008/Datasets/Mozambique%202008%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Mozambique/2008/Final/Mozambique%202008%20MICS_English.pdf
MICS3,Eastern and Southern Africa,Somalia,Somalia,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Somalia/2006/Datasets/Somalia%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Somalia/2006/Archive/somalia-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Somalia/2006/Final/Somalia%202006%20MICS_English.pdf
MICS3,Eastern and Southern Africa,Zimbabwe,Zimbabwe,2009,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Zimbabwe/2009/Datasets/Zimbabwe%202009%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Eastern%20and%20Southern%20Africa/Zimbabwe/2009/Final/Zimbabwe%202009%20MICS_English.pdf
MICS3,Europe and Central Asia,Albania,Albania,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Albania/2005/Datasets/Albania%202005%20MICS_Datasets.zip,,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Albania/2005/Final/Albania%202005%20MICS_English.zip
MICS3,Europe and Central Asia,Belarus,Belarus,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Belarus/2005/Datasets/Belarus%202005%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Belarus/2005/Archive/belarus-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Belarus/2005/Final/Belarus%202005%20MICS_English.pdf
MICS3,Europe and Central Asia,Bosnia and Herzegovina,Bosnia and Herzegovina,2006,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2006/Datasets/Bosnia%20and%20Herzegovina%202006%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2006/Archive/bosniaherzegovina-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Bosnia%20and%20Herzegovina/2006/Final/Bosnia%20and%20Herzegovina%202006%20MICS_Bosnian.pdf
MICS3,Europe and Central Asia,Georgia,Georgia,2005,Completed,Available,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Georgia/2005/Datasets/Georgia%202005%20MICS_Datasets.zip,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Georgia/2005/Archive/georgia-archive.zip,,https://mics-surveys-prod.s3.amazonaws.com/MICS3/Europe%20and%20Central%20Asia/Georgia/2005/Final/Georgia%202005%20MICS_English.pdf
