iso3,poverty_line,poor,nonpoor,HeadCount
SOM,1.9,11182158.9063366,4923015.0936634,0.6943209
SOM,3.2,14386987.0697404,1718186.9302596,0.8933146
SOM,5.5,15774349.568279,330824.431721,0.9794585
SSD,1.9,11257196.0938848,2352810.9061152,0.8271264
SSD,3.2,12787736.6510838,822270.348916201,0.9395834
SSD,5.5,13425490.6910982,184516.3089018,0.9864426
SWZ,1.9,415807.431897,1023487.568103,0.2888966
SWZ,3.2,749377.001802,689917.998198,0.5206556
SWZ,5.5,1035222.140238,404072.859762,0.7192564
TZA,1.9,29555502.1753467,33219116.8246533,0.4708193
TZA,3.2,47256011.2750815,15518607.7249185,0.7527885
TZA,5.5,57271927.7251599,5502691.27484009,0.9123421
UGA,1.9,18529572.838634,28658130.161366,0.392678
UGA,3.2,32230800.8121317,14956902.1878683,0.6830339
UGA,5.5,41036073.3796347,6151629.6203653,0.8696349
YEM,1.9,17682442.7169615,12562862.2830385,0.5846343
YEM,3.2,25196117.488934,5049187.511066,0.8330588
YEM,5.5,28765435.4961855,1479869.5038145,0.9510711
ZAF,1.9,12629045.5343262,46092183.4656738,0.2150678
ZAF,3.2,23995531.7960463,34725697.2039537,0.4086347
ZAF,5.5,35143522.2367803,23577706.7632197,0.5984807
ZMB,1.9,11143034.3834942,7536238.6165058,0.5965454
ZMB,3.2,14200754.7885749,4478518.2114251,0.7602413
ZMB,5.5,16537940.9169536,2141332.0830464,0.8853632
ZWE,1.9,7585658.528437,10094806.471563,0.4290418
ZWE,3.2,11808370.6186655,5872094.3813345,0.6678767
ZWE,5.5,14942855.3922835,2737609.6077165,0.8451619
ALB,1.9,32697.14804886,2909336.85195114,0.01111379
ALB,3.2,209992.73704848,2732041.26295152,0.07137672
ALB,5.5,928520.9347734,2013513.0652266,0.3156051
ARE,1.9,0,9813170,0
ARE,3.2,0,9813170,0
ARE,5.5,0,9813170,0
ARG,1.9,830566.60216596,44679832.397834,0.01825004
ARG,3.2,2721396.25149876,42789002.7485012,0.05979724
ARG,5.5,7826113.8453168,37684285.1546832,0.1719632
ARM,1.9,37509.65139748,2901169.34860252,0.01276412
ARM,3.2,369334.9399274,2569344.0600726,0.1256806
ARM,5.5,1480399.5122844,1458279.4877156,0.5037636
AUS,1.9,126605.797840326,25271571.2021597,0.004984838
AUS,3.2,189067.813916373,25209109.1860836,0.007444149
AUS,5.5,189067.813916373,25209109.1860836,0.007444149
AUT,1.9,49914.42824064,8732295.57175936,0.005683584
AUT,3.2,63484.95381673,8718725.04618327,0.007228813
AUT,5.5,100353.9623816,8681856.0376184,0.01142696
AZE,1.9,0,10099743,0
AZE,3.2,0,10099743,0
AZE,5.5,874.7801501763,10098868.2198498,8.66141e-05
BEL,1.9,9425.377608192,11610546.6223918,0.000811136
BEL,3.2,10985.0950758276,11608986.9049242,0.0009453633
BEL,5.5,20390.122627056,11599581.8773729,0.001754748
BEN,1.9,5150042.844954,6972942.155046,0.4248164
BEN,3.2,8459184.9593895,3663800.0406105,0.6977807
BEN,5.5,10830906.3480135,1292078.6519865,0.8934191
BFA,1.9,6729959.4331545,14173385.5668455,0.3219561
BFA,3.2,14563454.5265525,6339890.4734475,0.6967045
BFA,5.5,18780733.6449855,2122611.3550145,0.8984559
BGD,1.9,9649621.1028184,160125687.897182,0.0568376
BGD,3.2,59098717.1527764,110676591.847224,0.3480996
BGD,5.5,126269588.124798,43505720.8752023,0.7437453
BGR,1.9,60414.552967362,6880112.44703264,0.008704606
BGR,3.2,143632.19351217,6796894.80648783,0.02069471
BGR,5.5,454948.28280231,6485578.71719769,0.06554953
BIH,1.9,2063.471991471,3496146.52800853,0.0005898651
BIH,3.2,10936.88070462,3487273.11929538,0.003126422
BIH,5.5,82427.7974985,3415782.2025015,0.02356285
BLR,1.9,0,9415431,0
BLR,3.2,0,9415431,0
BLR,5.5,23299.293736566,9392131.70626343,0.002474586
BLZ,1.9,70244.5340349,327762.4659651,0.1764907
BLZ,3.2,142980.3132849,255026.6867151,0.3592407
BLZ,5.5,235763.028513,162243.971487,0.592359
BOL,1.9,447375.94018728,11096606.0598127,0.03875404
BOL,3.2,1019174.99628732,10524807.0037127,0.08828626
BOL,5.5,2581357.8958074,8962624.1041926,0.2236107
BRA,1.9,10248811.1879563,203614234.812044,0.04792231
BRA,3.2,20520411.6220943,193342634.377906,0.09595118
BRA,5.5,43924496.9520606,169938549.047939,0.2053861
BTN,1.9,5643.10565586,829601.89434414,0.006756228
BTN,3.2,59396.3266527,775848.6733473,0.07111246
BTN,5.5,245017.1996865,590227.8003135,0.2933477
BWA,1.9,384705.1792382,2031060.8207618,0.1592477
BWA,3.2,922736.1275772,1493029.8724228,0.3819642
BWA,5.5,1452896.5102882,962869.4897118,0.6014227
CAN,1.9,92883.90228973,37510321.0977103,0.002470106
CAN,3.2,187031.986728355,37416173.0132716,0.004973831
CAN,5.5,280143.538821155,37323061.4611788,0.007449991
CHE,1.9,2644.858262293,8667890.14173771,0.0003050398
CHE,3.2,3431.541105164,8667103.45889484,0.0003957704
CHE,5.5,13173.048449615,8657361.95155039,0.001519289
CHL,1.9,54956.525895697,18417682.4741043,0.002975023
CHL,3.2,137466.008855039,18335172.991145,0.007441601
CHL,5.5,723585.83102452,17749053.1689755,0.03917068
CHN,1.9,2698165.6432173,1421850100.35678,0.00189405
CHN,3.2,27497057.9948118,1397051208.00519,0.0193023
CHN,5.5,192543225.725999,1232005040.274,0.1351609
CIV,1.9,5537803.589725,20633946.410275,0.2115947
CIV,3.2,12825076.128425,13346673.871575,0.4900351
CIV,5.5,19926157.603275,6245592.396725,0.7613613
CMR,1.9,6141415.6027392,19816768.3972608,0.2365888
CMR,3.2,11572423.2006768,14385760.7993232,0.4458102
CMR,5.5,17848177.5972528,8110006.4027472,0.6875742
COG,1.9,3340595.1355392,2346321.8644608,0.5874176
COG,3.2,4527021.3703638,1159895.6296362,0.7960414
COG,5.5,5286491.5062711,400425.493728899,0.9295883
COL,1.9,2776991.91958496,47443420.080415,0.05529608
COL,3.2,7069301.405386,43151110.594614,0.1407655
COL,5.5,15892922.3309208,34327489.6690792,0.3164634
COM,1.9,160526.3445177,709074.6554823,0.1845977
COM,3.2,338169.3933588,531431.6066412,0.3888788
COM,5.5,556450.723092,313150.276908,0.639892
CPV,1.9,18442.73037468,548905.26962532,0.03250691
CPV,3.2,85591.0837716,481756.9162284,0.1508617
CPV,5.5,233012.1497268,334335.8502732,0.4107041
CRI,1.9,53970.34453587,4990208.65546413,0.01069953
CRI,3.2,178552.8394062,4865626.1605938,0.0353978
CRI,5.5,581075.8015167,4463103.1984833,0.1151973
CYP,1.9,199.2910381694,1207143.70896183,0.0001650658
CYP,3.2,977.4894018629,1206365.51059814,0.0008096203
CYP,5.5,1273.053850118,1206069.94614988,0.001054426
CZE,1.9,942.31446937984,10632481.6855306,8.861816e-05
CZE,3.2,5189.9264956208,10628234.0735044,0.0004880767
CZE,5.5,21611.753740864,10611812.2462591,0.002032436
DEU,1.9,0,82540450,0
DEU,3.2,198657.0344128,82341792.9655872,0.002406784
DEU,5.5,412629.86202535,82127820.1379747,0.004999123
DNK,1.9,11972.42088,5784827.57912,0.00206535
DNK,3.2,13131.4156816,5783668.5843184,0.002265287
DNK,5.5,15005.5732928,5781794.4267072,0.002588596
DOM,1.9,84168.495117036,11024189.504883,0.007577042
DOM,3.2,344118.26879856,10764239.7312014,0.03097832
DOM,5.5,1569138.880185,9539219.119815,0.1412575
DZA,1.9,162370.65981661,43170884.3401834,0.003747022
DZA,3.2,1236641.39786215,42096613.6021378,0.02853793
DZA,5.5,10569357.8938185,32763897.1061815,0.2439087
ECU,1.9,710510.30190384,16625131.6980962,0.04098552
ECU,3.2,1895012.7675102,15440629.2324898,0.1093131
ECU,5.5,4970634.7621464,12365007.2378536,0.2867292
EGY,1.9,3611767.84868976,99329716.1513102,0.03508564
EGY,3.2,28228263.7414344,74713220.2585656,0.2742166
EGY,5.5,73587359.542206,29354124.457794,0.7148465
ERI,1.9,2157362.27039469,3274853.72960531,0.397142210544405
ERI,3.2,3044748.25785878,2387467.74214122,0.560498378168095
ERI,5.5,4292830.24582889,1139385.75417111,0.79025396741015
ESP,1.9,422062.166528487,46037156.8334715,0.009084573
ESP,3.2,650282.25486796,45808936.745132,0.01399684
ESP,5.5,1378164.41404724,45081054.5859528,0.02966396
EST,1.9,2956.982155816,1297602.01784418,0.002273624
EST,3.2,6141.646672967,1294417.35332703,0.004722313
EST,5.5,10487.944477738,1290071.05552226,0.008064182
FIN,1.9,3168.0758113102,5576958.92418869,0.0005677426
FIN,3.2,6245.384160813,5573881.61583919,0.001119219
FIN,5.5,10964.659388396,5569162.3406116,0.001964948
FJI,1.9,5242.14629499,919672.85370501,0.005667706
FJI,3.2,72687.7379724,852227.2620276,0.07858856
FJI,5.5,340413.300903,584501.699097,0.3680482
FRA,1.9,13911.8890677825,65707253.1109322,0.0002116805
FRA,3.2,56145.788422995,65665019.211577,0.000854303
FRA,5.5,85636.64962995,65635528.35037,0.00130303
FSM,1.9,16969.393509,90804.606491,0.1574535
FSM,3.2,42081.2097146,65692.7902854,0.3904579
FSM,5.5,74511.9474828,33262.0525172,0.6913722
GAB,1.9,75129.98205636,2076159.01794364,0.03492324
GAB,3.2,254140.5898549,1897148.4101451,0.1181341
GAB,5.5,710788.6822757,1440500.3177243,0.3304013
GBR,1.9,210480.808797696,67123727.1912023,0.003125912
GBR,3.2,328433.70966432,67005774.2903357,0.004877665
GBR,5.5,658892.630302656,66675315.3696974,0.009785407
GEO,1.9,171394.69504426,3727134.30495574,0.04396394
GEO,3.2,655681.896923,3242847.103077,0.168187
GEO,5.5,1766726.7954562,2131802.2045438,0.4531778
GHA,1.9,3256736.1557055,27477018.8442945,0.1059661
GHA,3.2,7852489.7693775,22881265.2306225,0.2555005
GHA,5.5,15353323.914045,15380431.085955,0.499559
GIN,1.9,2660233.4228774,11090592.5771226,0.1934599
GIN,3.2,7188196.163609,6562629.836391,0.5227465
GIN,5.5,11532938.7734688,2217887.2265312,0.8387088
GMB,1.9,182969.27541708,2110523.72458292,0.07977756
GMB,3.2,746175.5626878,1547317.4373122,0.3253446
GMB,5.5,1561735.9397553,731757.0602447,0.6809421
GNB,1.9,1270315.2464862,730378.7535138,0.6349373
GNB,3.2,1657660.8087726,343033.1912274,0.8285429
GNB,5.5,1850886.6348762,149807.3651238,0.9251223
GNQ,1.9,555194.859276505,851085.140723495,0.394796810931326
GNQ,3.2,904307.580859827,501972.419140173,0.643049450223161
GNQ,5.5,1195068.06328847,211211.936711534,0.849808049100084
GRC,1.9,15495.049252644,11087076.9507474,0.001395627
GRC,3.2,36909.845562252,11065662.1544377,0.003324441
GRC,5.5,401751.45295168,10700820.5470483,0.03618544
GUY,1.9,36092.36594352,754689.63405648,0.04564136
GUY,3.2,61066.22625756,729715.77374244,0.07722258
GUY,5.5,111869.2408812,678912.7591188,0.1414666
HRV,1.9,19240.368802677,4096706.63119732,0.004674591
HRV,3.2,33068.87646051,4082878.12353949,0.00803433
HRV,5.5,106508.31935953,4009438.68064047,0.02587699
HUN,1.9,19967.026911216,9601286.97308878,0.002075304
HUN,3.2,49168.918261792,9572085.08173821,0.005110448
HUN,5.5,192067.26556374,9429186.73443626,0.01996281
IDN,1.9,8760729.16777166,263462257.832228,0.03218218
IDN,3.2,58230647.4808973,213992339.519103,0.2139079
IDN,5.5,146685859.318522,125537127.681479,0.5388445
IND,1.9,140844802.798102,1242352950.2019,0.1018255
IND,3.2,615089505.90921,768108247.09079,0.4446866
IND,5.5,1094263649.17246,288934103.827541,0.7911115
IRL,1.9,11887.405912312,4876104.59408769,0.002431961
IRL,3.2,14861.925012024,4873130.07498798,0.003040497
IRL,5.5,19179.449241688,4868812.55075831,0.003923789
IRN,1.9,593569.087629058,82993559.9123709,0.007101202
IRN,3.2,3122747.43386551,80464381.5661345,0.03735919
IRN,5.5,13512477.9476046,70074651.0523954,0.1616574
IRQ,1.9,951993.59115885,40550891.4088412,0.02293801
IRQ,3.2,7084459.46373,34418425.53627,0.170698
IRQ,5.5,23353113.1005525,18149771.8994475,0.5626865
ISL,1.9,0,343228,0
ISL,3.2,61.5251978488,343166.474802151,0.0001792546
ISL,5.5,140.9336041816,343087.066395818,0.0004106122
ISR,1.9,21034.060893814,8692524.93910619,0.002413946
ISR,3.2,64159.895467775,8649399.10453223,0.007363225
ISR,5.5,238358.36081792,8475200.63918208,0.02735488
ITA,1.9,845451.45749064,58286621.5425094,0.01429768
ITA,3.2,1148585.52519711,57983487.4748029,0.01942407
ITA,5.5,1901789.17484556,57230283.8251544,0.03216172
JAM,1.9,77694.2102528,2835465.7897472,0.02667008
JAM,3.2,333786.95964,2579373.04036,0.114579
JAM,5.5,1009293.122284,1903866.877716,0.3464599
JOR,1.9,10629.51409095,10198032.4859091,0.001041225
JOR,3.2,199464.4946525,10009197.5053475,0.01953875
JOR,5.5,1735959.4931774,8472702.5068226,0.1700477
JPN,1.9,920746.508539713,125574900.49146,0.007278879
JPN,3.2,1193364.36114565,125302282.638854,0.009434035
JPN,5.5,1529845.94455682,124965801.055443,0.01209406
KAZ,1.9,1978.7067421115,18775160.2932579,0.0001053785
KAZ,3.2,33147.865568009,18743991.134432,0.001765331
KAZ,5.5,770927.17500991,18006211.8249901,0.04105669
KGZ,1.9,52337.614393374,6249380.38560663,0.008305293
KGZ,3.2,835910.9194358,5465807.0805642,0.1326481
KGZ,5.5,3716651.1885684,2585066.8114316,0.5897838
KIR,1.9,13598.7854862,108840.2145138,0.1110658
KIR,3.2,37383.3081141,85055.6918859,0.3053219
KIR,5.5,80092.002582,42346.997418,0.654138
KOR,1.9,116748.336390725,51390226.6636093,0.002266651
KOR,3.2,116748.336390725,51390226.6636093,0.002266651
KOR,5.5,379654.667785575,51127320.3322144,0.007370937
LAO,1.9,681274.90952598,6483547.09047402,0.09508609
LAO,3.2,2636808.539673,4528013.460327,0.3680215
LAO,5.5,4996852.9021656,2167969.0978344,0.6974148
LBN,1.9,0,6019795,0
LBN,3.2,58214.301131805,5961580.69886819,0.009670479
LBN,5.5,358788.0893171,5661006.9106829,0.05960138
LBR,1.9,2558763.1110935,2545089.8889065,0.5013395
LBR,3.2,4061258.8349573,1042594.1650427,0.7957241
LBR,5.5,4843123.6902656,260729.3097344,0.9489152
LBY,1.9,957594.229403522,5704578.77059648,0.14373601967459
LBY,3.2,2908973.22023013,3753199.77976987,0.436640300429024
LBY,5.5,5323432.24608969,1338740.75391031,0.799053438883933
LCA,1.9,11240.48415765,169962.51584235,0.06203255
LCA,3.2,22488.3613977,158714.6386023,0.1241059
LCA,5.5,41608.7207547,139594.2792453,0.2296249
LKA,1.9,148735.603229472,20935306.3967705,0.007054416
LKA,3.2,2025639.42565026,19058402.5743497,0.09607453
LKA,5.5,8305805.337396,12778236.662604,0.393938
LTU,1.9,26316.742387194,2826161.25761281,0.009225923
LTU,3.2,36079.25421042,2816398.74578958,0.01264839
LTU,5.5,68885.97451056,2783592.02548944,0.02414952
LUX,1.9,1720.140617976,602223.859382024,0.002848179
LUX,3.2,2285.621236448,601658.378763552,0.003784492
LUX,5.5,3485.422426288,600458.577573712,0.005771102
LVA,1.9,6473.187999136,1886519.81200086,0.003419552
LVA,3.2,17213.032673825,1875779.96732617,0.009093025
LVA,5.5,46651.20344095,1846341.79655905,0.02464415
MAR,1.9,283080.417700986,36787637.582299,0.007636227
MAR,3.2,2373234.74412816,34697483.2558718,0.06401912
MAR,5.5,10319357.234301,26751360.765699,0.2783695
MDA,1.9,732.7746824064,4016954.22531759,0.0001823872
MDA,3.2,38974.93875708,3978712.06124292,0.00970084
MDA,5.5,560713.6207131,3456973.3792869,0.1395613
MDV,1.9,232.140494377,458676.859505623,0.000505853
MDV,3.2,2757.645215897,456151.354784103,0.006009133
MDV,5.5,35495.15181938,423413.84818062,0.07734682
MEX,1.9,2822290.74762264,131047736.252377,0.02108232
MEX,3.2,10549133.4973354,123320893.502665,0.07880131
MEX,5.5,35482397.9133797,98387629.0866203,0.2650511
MKD,1.9,72397.8111445,2015637.1888555,0.0346727
MKD,3.2,153511.7485502,1934523.2514498,0.07351972
MKD,5.5,375953.207392,1712081.792608,0.1800512
MLI,1.9,8823127.422844,11461052.577156,0.4349758
MLI,3.2,15325357.22585,4958822.77415,0.7555325
MLI,5.5,18976081.629652,1308098.370348,0.9355114
MLT,1.9,449.047075578,433913.952924422,0.001033806
MLT,3.2,1001.48036369,433361.51963631,0.00230563
MLT,5.5,1167.965620508,433195.034379492,0.002688916
MMR,1.9,427187.925389548,54381088.0746104,0.007794223
MMR,3.2,5477477.71817088,49330798.2818291,0.09993888
MMR,5.5,24786072.7145148,30022203.2854852,0.4522323
MNE,1.9,16718.03052606,612678.96947394,0.02656198
MNE,3.2,39168.68445576,590228.31554424,0.06223208
MNE,5.5,102558.4788384,526838.5211616,0.1629472
MNG,1.9,12161.8759878,3197242.1240122,0.00378945
MNG,3.2,142428.535414,3066975.464586,0.0443785
MNG,5.5,811851.7986612,2397552.2013388,0.2529603
MUS,1.9,4655.49151517,1269458.50848483,0.003653905
MUS,3.2,33921.57793724,1240192.42206276,0.02662366
MUS,5.5,199389.285145,1074724.714855,0.1564925
MYS,1.9,2288.04935130504,32867034.9506487,6.961048e-05
MYS,3.2,38126.672605881,32831196.3273941,0.001159947
MYS,5.5,559182.12628644,32310140.8737136,0.01701228
NER,1.9,9276942.20062,14797750.79938,0.38534
NER,3.2,17475648.7183797,6599044.2816203,0.7258929
NER,5.5,22064167.238184,2010525.761816,0.916488
NGA,1.9,82836237.0852798,123316463.91472,0.4018198
NGA,3.2,148178149.810999,57974551.1890014,0.7187786
NGA,5.5,190486765.560878,15665935.4391219,0.9240081
NIC,1.9,250395.72220008,6166172.27779992,0.03902331
NIC,3.2,891670.0305816,5524897.9694184,0.1389637
NIC,5.5,2374701.8762088,4041866.1237912,0.3700891
NLD,1.9,17338.679775424,17163909.3202246,0.001009163
NLD,3.2,28448.865069632,17152799.1349304,0.001655809
NLD,5.5,60202.165204608,17121045.8347954,0.003503946
NOR,1.9,13869.468685,5435823.531315,0.002545
NOR,3.2,15912.847424429,5433780.15257557,0.002919953
NOR,5.5,21397.810837525,5428295.18916247,0.003926425
NPL,1.9,1580491.93891512,28679752.0610849,0.05222998
NPL,3.2,9597314.7788448,20662929.2211552,0.3171592
NPL,5.5,20872538.9053188,9387705.0946812,0.6897677
NRU,1.9,0,11227,0
NRU,3.2,791.36001894,10435.63998106,0.07048722
NRU,5.5,3011.2902222,8215.7097778,0.2682186
PAN,1.9,81866.2810599,4207463.7189401,0.01908603
PAN,3.2,284805.3782581,4004524.6217419,0.06639857
PAN,5.5,663155.296114,3626174.703886,0.1546058
PER,1.9,957057.87457466,32355120.1254253,0.02872997
PER,3.2,3075477.54451976,30236700.4554802,0.09232292
PER,5.5,8138288.3404586,25173889.6595414,0.2443037
PHL,1.9,6136056.5039774,103567339.496023,0.05593315
PHL,3.2,30662976.809168,79040419.190832,0.279508
PHL,5.5,67170950.557216,42532445.442784,0.612296
PNG,1.9,2400159.0406175,6355515.9593825,0.2741261
PNG,3.2,4624741.4060275,4130933.5939725,0.5281993
PNG,5.5,6919250.0942575,1836424.9057425,0.7902589
POL,1.9,0,37942231,0
POL,3.2,22310.6806401501,37919920.3193598,0.0005880171
POL,5.5,504037.11754023,37438193.8824598,0.01328433
PRT,1.9,29659.342250607,10188753.6577494,0.002902539
PRT,3.2,70727.062350303,10147685.9376497,0.006921531
PRT,5.5,184750.43980195,10033662.560198,0.01808015
PRY,1.9,69846.02240486,6996483.97759514,0.009884342
PRY,3.2,326621.8131691,6739708.1868309,0.04622227
PRY,5.5,1106681.966822,5959648.033178,0.1566134
PSE,1.9,47518.153626788,5275110.84637321,0.008927572
PSE,3.2,241442.06279947,5081186.93720053,0.04536143
PSE,5.5,1187801.0812174,4134827.9187826,0.2231606
ROU,1.9,435640.9834504,18952721.0165496,0.0224692
ROU,3.2,979823.64000178,18408538.3599982,0.05053669
ROU,5.5,2031733.5976868,17356628.4023132,0.1047914
RUS,1.9,44888.5697663486,143741953.430234,0.0003121883
RUS,3.2,510706.562807702,143276135.437192,0.003551831
RUS,5.5,5286925.71299798,138499916.287002,0.03676919
RWA,1.9,6421870.5562308,6665302.4437692,0.4906996
RWA,3.2,9903315.0828216,3183857.9171784,0.7567192
RWA,5.5,11785353.9488883,1301819.0511117,0.9005271
SEN,1.9,4639084.4956172,12561069.5043828,0.2697118
SEN,3.2,9528840.5955996,7671313.4044004,0.5539974
SEN,5.5,14035907.0292052,3164246.9707948,0.8160338
SLB,1.9,160789.2868267,486507.7131733,0.2484011
SLB,3.2,378879.6990923,268417.3009077,0.5853259
SLB,5.5,547778.9053023,99518.0946977,0.8462559
SLE,1.9,3346404.772591,4700526.227409,0.415861
SLE,3.2,6074113.208316,1972817.791684,0.754836
SLE,5.5,7438867.8777574,608063.1222426,0.9244354
SRB,1.9,3224.2038462426,8700717.79615376,0.0003704303
SRB,3.2,52377.032865924,8651564.96713408,0.006017622
SRB,5.5,452302.0868184,8251639.9131816,0.0519652
STP,1.9,85181.8247486,132829.1752514,0.3907226
STP,3.2,147654.2938701,70356.7061299,0.6772791
STP,5.5,191100.0273754,26910.9726246,0.8765614
SVK,1.9,9237.7843494,5442162.2156506,0.001694571
SVK,3.2,55264.003612,5396135.996388,0.01013758
SVK,5.5,146322.93539,5305077.06461,0.02684135
SVN,1.9,0,2082055,0
SVN,3.2,0,2082055,0
SVN,5.5,1865.113613631,2080189.88638637,0.0008958042
SWE,1.9,70181.584439824,10051504.4155602,0.006933784
SWE,3.2,89362.89804953,10032323.1019505,0.008828855
SWE,5.5,122904.0905079,9998781.9094921,0.01214265
SYC,1.9,560.269814416,95551.730185584,0.005829343
SYC,3.2,1271.97408048,94840.02591952,0.01323429
SYC,5.5,5775.14998352,90336.85001648,0.06008771
SYR,1.9,6542242.0500586,12382199.9499414,0.3457033
SYR,3.2,12798480.9006154,6125961.0993846,0.6762937
SYR,5.5,16781551.734572,2142890.265428,0.886766
TCD,1.9,6790707.9019956,9494385.0980044,0.4169892
TCD,3.2,11286616.5804799,4998476.4195201,0.6930643
TCD,5.5,14356568.3171889,1928524.6828111,0.8815773
TGO,1.9,3783179.9073184,4601111.0926816,0.4512224
TGO,3.2,5799990.0854917,2584300.9145083,0.6917687
TGO,5.5,7394382.0760739,989908.9239261,0.8819329
THA,1.9,58523.9329991964,69352344.0670008,0.0008431523
THA,3.2,325026.731629332,69085841.2683707,0.004682649
THA,5.5,5474419.88876904,63936448.111231,0.07886978
TJK,1.9,175023.14351852,9300222.85648148,0.01847162
TJK,3.2,873896.2534324,8601349.7465676,0.0922294
TJK,5.5,3405044.3005766,6070201.6994234,0.3593621
TKM,1.9,105426.55515095,5925768.44484905,0.01748021
TKM,3.2,512711.22351855,5518483.77648145,0.08500989
TKM,5.5,1829548.528382,4201646.471618,0.3033476
TLS,1.9,344376.66556,1037023.33444,0.2492954
TLS,3.2,955209.7813,426190.2187,0.6914795
TLS,5.5,1281281.51546,100118.48454,0.9275239
TON,1.9,747.233706904,110289.766293096,0.006729592
TON,3.2,6770.19682028,104266.80317972,0.06097244
TON,5.5,26785.3666804,84251.6333196,0.2412292
TTO,1.9,4576.158561267,1373152.84143873,0.003321523
TTO,3.2,20048.5746351,1357680.4253649,0.0145519
TTO,5.5,101467.8120294,1276261.1879706,0.0736486
TUN,1.9,39809.657451648,11863326.3425484,0.003344468
TUN,3.2,444184.92195168,11458951.0780483,0.03731663
TUN,5.5,2417434.0771392,9485701.9228608,0.2030922
TUR,1.9,302319.9304035,83533430.0695965,0.003606098
TUR,3.2,1756872.03729,82078877.96271,0.02095612
TUR,5.5,8370955.2045525,75464794.7954475,0.09984947
TUV,1.9,32.464068792,11466.535931208,0.002823208
TUV,3.2,1013.56061163,10485.43938837,0.08814337
TUV,5.5,3448.4983545,8050.5016455,0.2998955
TWN,1.9,0,23817905,0
TWN,3.2,0,23817905,0
TWN,5.5,58991.734563805,23758913.2654362,0.002476781
UKR,1.9,0,43579234,0
UKR,3.2,113128.510179918,43466105.4898201,0.002595927
UKR,5.5,1340320.30614996,42238913.69385,0.03075594
