CountryCode,CountryName,ProjYear,PovertyLine,HeadCount,CoverageType
ERI,Eritrea,2011,5.5,0.868556596469196,N
ERI,Eritrea,2011,17.81334964,0.999452600266574,N
ERI,Eritrea,2012,1.9,0.420512331352248,N
ERI,Eritrea,2012,2.36253841,0.500984788141343,N
ERI,Eritrea,2012,3.2,0.628441802625094,N
ERI,Eritrea,2012,5.5,0.848656918918619,N
ERI,Eritrea,2012,18.36542926,0.999112387924255,N
ERI,Eritrea,2013,1.9,0.416593228203402,N
ERI,Eritrea,2013,2.509693168,0.520564327218733,N
ERI,Eritrea,2013,3.2,0.623431643514737,N
ERI,Eritrea,2013,5.5,0.844653089618472,N
ERI,Eritrea,2013,18.79714975,0.999253969776848,N
ERI,Eritrea,2015,1.9,0.394663669308202,N
ERI,Eritrea,2015,2.668833214,0.511820280963684,N
ERI,Eritrea,2015,3.2,0.587457187624827,N
ERI,Eritrea,2015,5.5,0.81450985873751,N
ERI,Eritrea,2015,19.46453494,0.998643111105685,N
ERI,Eritrea,2018,,,N
ERI,Eritrea,2018,1.9,0.396123218904338,N
ERI,Eritrea,2018,2.877820132,0.527779887013218,N
ERI,Eritrea,2018,3.2,0.572085349780958,N
ERI,Eritrea,2018,5.5,0.800860437416753,N
ERI,Eritrea,2019,,,N
ERI,Eritrea,2019,1.9,0.397336368498478,N
ERI,Eritrea,2019,2.913124478,0.5193879100758,N
ERI,Eritrea,2019,3.2,0.558195572832275,N
ERI,Eritrea,2019,5.5,0.788112719793171,N
ERI,Eritrea,2020,,,N
ERI,Eritrea,2020,1.9,0.397142210544405,N
ERI,Eritrea,2020,2.879716786,0.516935991213465,N
ERI,Eritrea,2020,3.2,0.560498378168095,N
ERI,Eritrea,2020,5.5,0.79025396741015,N
ERI,Eritrea,2021,,,N
ERI,Eritrea,2021,1.9,0.397745301334609,N
ERI,Eritrea,2021,2.947927508,0.519412441091718,N
ERI,Eritrea,2021,3.2,0.553233306902515,N
ERI,Eritrea,2021,5.5,0.7834604550087,N
ERI,Eritrea,2022,,,N
ERI,Eritrea,2022,1.9,0.399083159646757,N
ERI,Eritrea,2022,3.2,0.535742516450543,N
ERI,Eritrea,2022,5.5,0.766637936063171,N
ERI,Eritrea,2023,,,N
ERI,Eritrea,2023,1.9,0.34310786756419,N
ERI,Eritrea,2023,3.2,0.522351358480539,N
ERI,Eritrea,2023,5.5,0.753297251606451,N
ERI,Eritrea,2024,,,N
ERI,Eritrea,2024,1.9,0.334081070083113,N
ERI,Eritrea,2024,3.2,0.509078019867343,N
ERI,Eritrea,2024,5.5,0.739663749145645,N
ERI,Eritrea,2025,,,N
ERI,Eritrea,2025,1.9,0.325242265577744,N
ERI,Eritrea,2025,3.2,0.495927055691244,N
ERI,Eritrea,2025,5.5,0.725739335361935,N
GNQ,Equatorial Guinea,2008,1.9,0.273358997364164,N
GNQ,Equatorial Guinea,2008,1.994779514,0.290554531033208,N
GNQ,Equatorial Guinea,2008,3.2,0.494559952244481,N
