iso3,hazard_class,IndicatorScore,disb,Location,PopTotal,per_cap
GAB,Low,2.5,0,Gabon,2225.728,0
GEO,Medium,4.5,11.37249763,Georgia,3989.175,2.85083949187489
GHA,Medium,3.7,0.47945063,Ghana,31072.945,0.0154298419412772
GIN,Medium,3.9,0.4496656,Guinea,13132.792,0.0342399087718743
GMB,Medium,3.1,1.3698162,Gambia,2416.664,0.566821122009514
GNB,Low,2.7,0.08848339,Guinea-Bissau,1967.998,0.0449611178466645
GNQ,Medium,2.9,0.0018298,Equatorial Guinea,1402.985,0.00130421921830953
GRD,Low,1.7,0.0251633,Grenada,112.519,0.223636008140847
GTM,High,6.7,5.18201031,Guatemala,17915.567,0.289246235410802
GUY,Medium,3.8,0.466458628,Guyana,786.559,0.593037048714718
HND,High,6.5,9.440488362,Honduras,9904.608,0.953141039201147
HTI,Very High,7,21.549585875,Haiti,11402.533,1.88989462911443
IDN,Very High,7.7,36.262424587,Indonesia,273523.621,0.132575111628111
IND,Very High,7.8,71.7452173447,India,1380004.385,0.0519891227336209
IRN,High,6.8,0.6664733,Iran (Islamic Republic of),83992.953,0.00793487163143318
IRQ,High,5.6,1.650809325,Iraq,40222.503,0.0410419342873814
JAM,High,5.4,0.26141215,Jamaica,2961.161,0.088280289386494
JOR,Medium,4.2,15.15898176,Jordan,10203.14,1.48571731447378
KAZ,Medium,4,0.1601538,Kazakhstan,18776.707,0.00852938696865217
KEN,High,5.1,144.53052785,Kenya,53771.3,2.68787490445647
KGZ,High,5.1,1.38451228,Kyrgyzstan,6524.191,0.212212101086556
KHM,High,5.8,25.1041119,Cambodia,16718.971,1.50153450831394
KIR,Medium,3.8,2.949354,Kiribati,119.446,24.6919444770022
LAO,High,4.9,17.61865703,Lao People's Democratic Republic,7275.556,2.42162345118366
LBN,High,5.2,2.7544827,Lebanon,6825.442,0.403561073407407
LBR,Medium,4,2.2976911,Liberia,5057.677,0.454297714148215
LBY,Medium,3.7,3.56849392,Libya,6871.287,0.519334139295884
LCA,Low,2.6,2.7901789,Saint Lucia,183.629,15.1946528053848
LKA,High,5.2,31.7846324,Sri Lanka,21413.25,1.48434415140159
LSO,Low,2.5,0.7291969,Lesotho,2142.252,0.340388012241324
MAR,High,4.7,2.4422478604,Morocco,36910.558,0.0661666469631806
MDA,Medium,4.1,7.3343671,Republic of Moldova,4033.963,1.81815428153406
MDG,High,6.1,8.156536453,Madagascar,27691.019,0.294555301594354
MDV,Medium,3.2,7.7001835,Maldives,540.542,14.2453010126873
MEX,High,6.7,4.17641607,Mexico,128932.753,0.0323922042523982
MHL,Medium,3.6,0.2229804,Marshall Islands,59.194,3.76694259553333
MKD,Medium,3.8,3.4919723,North Macedonia,2083.38,1.67610915915484
MLI,Medium,4.4,6.20072307,Mali,20250.834,0.306195935930342
MMR,Very High,7.8,13.526420543,Myanmar,54409.794,0.248602678830212
MNE,Medium,4.3,0.12446723,Montenegro,628.062,0.198176660902905
MNG,Medium,2.9,3.750465639,Mongolia,3278.292,1.14403037892903
MOZ,High,5.8,66.546931891,Mozambique,31255.435,2.1291315219577
MRT,High,5.6,4.712203121,Mauritania,4649.66,1.01345111707093
MUS,Medium,3.7,0.03364955,Mauritius,1271.767,0.0264588953794209
