iso3,hazard_class,IndicatorScore,drr_2018,drr_2019,diff
JAM,High,5.4,6.71867775,0.26141215,0.0389082732833853
JOR,Medium,4.2,5.1715273,15.15898176,2.93123885471899
KAZ,Medium,4,0.3873579,0.1601538,0.413451745788585
KEN,High,5.1,52.636659,144.53052785,2.74581500034035
KGZ,High,5.1,3.0513405,1.38451228,0.453739030435968
KHM,High,5.8,11.95323237,25.1041119,2.10019441795558
KIR,Medium,3.8,1.364076,2.949354,2.16216251880394
LAO,High,4.9,18.55461046,17.61865703,0.94955682675108
LBN,High,5.2,1.085386141,2.7544827,2.5377905576187
LBR,Medium,4,0.02906,2.2976911,79.0671403991741
LBY,Medium,3.7,0,3.56849392,Inf
LCA,Low,2.6,5.6709216,2.7901789,0.492015072118084
LKA,High,5.2,26.37410250762,31.7846324,1.20514555484179
LSO,Low,2.5,1.221811,0.7291969,0.596816447060961
MAR,High,4.7,6.66020646,2.4422478604,0.366692515474963
MDA,Medium,4.1,1.02679,7.3343671,7.14300597006204
MDG,High,6.1,13.04893229,8.156536453,0.625073091938007
MDV,Medium,3.2,0.87830811,7.7001835,8.76706410009125
MEX,High,6.7,2.40384872,4.17641607,1.73738723042438
MHL,Medium,3.6,0.24589212,0.2229804,0.906822064895776
MKD,Medium,3.8,3.7846704,3.4919723,0.922662195365811
MLI,Medium,4.4,3.29638525,6.20072307,1.88106747231684
MMR,Very High,7.8,20.161455768,13.526420543,0.670904953424492
MNE,Medium,4.3,0.4056898,0.12446723,0.306803942322435
MNG,Medium,2.9,5.23862919,3.750465639,0.715925006900517
MOZ,High,5.8,15.631486225,66.546931891,4.25723638386791
MRT,High,5.6,1.8999623,4.712203121,2.48015611730822
MSR,,,0,0,
MUS,Medium,3.7,1.660048,0.03364955,0.0202702271259626
MWI,Medium,4.5,12.1741454,12.47048111,1.02434139730252
MYS,High,4.9,0.9663743,0.97235676,1.00619062406771
NAM,Medium,4.3,0.10987298,0.1145611,1.04266854325786
NER,Medium,4.5,37.69564394,24.02248849,0.637274920365772
NGA,Medium,4,2.62175652,43.64616726,16.6476814025431
NIC,High,6.6,6.962741505,5.02134744,0.721173899159423
NIU,,,1.1281806,0.0104639,0.00927502210195779
NPL,High,5.8,57.65261704,73.9971425481,1.28350014877486
NRU,Medium,2.8,0.2217881,0.3033043,1.36754090954384
PAK,Very High,7.4,53.51990517,90.403496381,1.68915651277489
PAN,High,6.2,0.36630982,0.4959817,1.35399509628216
PER,Very High,7.1,10.967960652,8.710611745,0.794186998055252
PHL,Very High,8.4,70.91506197,69.8759922,0.985347685792906
PLW,Medium,3.2,0.45123452,0.28138167,0.623581879329622
PNG,High,6.7,6.66741313,4.243900251,0.636513767521708
PRK,High,5.2,2.99685995,1.90241529,0.63480286758145
PRY,Low,2.6,1.160969,1.85394339,1.59689310395023
PSE,Medium,3.1,1.5204156,2.3817499,1.56651240621314
RWA,Medium,3.5,2.1185398,7.5711402,3.57375405456154
SDN,Medium,4.2,2.81673024,4.350994035,1.54469674561381
SEN,Medium,4.5,6.78529595,17.6504391964,2.60127772266146
SHN,,,0,0,
SLB,High,5.8,3.94298656,1.16771299,0.296149371100063
SLE,Medium,3.9,1.7283462,1.2856917,0.743885513214887
