iso3,countryname,Total.PiN,severity_max,physical_flag,conflict_flag,displacement_flag,PopTotal,risk_class,covid_risk_class,protracted_crisis_flag,consecutive_crisis_years,hrp_funding,hrp_requirements,rrp_funding,rrp_requirements
NIC,Nicaragua,0,2,1,0,0,6.624554,High,Medium,0,0,0,0,0,0
PAK,Pakistan,3.04,2,1,1,0,220.892331,High,High,1,5,89.576883,145.788878,0,0
PER,Peru,0.89,3,0,0,1,32.971846,Medium,Medium,0,0,0,0,0,136.525462
PHL,Philippines (the),4.1,3,1,1,0,109.581085,High,Medium,0,1,20.562507,121.767344,0,0
PRK,Korea (the Democratic People's Republic of),10.9,4,1,0,0,25.778815,High,Medium,1,6,32.23561,146.692162,0,0
PSE,"Palestine, State of",2.5,4,0,1,0,5.101416,High,High,1,18,295.086325,420.381684,0,0
RWA,Rwanda,0.15,2,1,0,1,12.952209,Medium,High,1,6,0,0,34.957304,151.149293
SDN,Sudan (the),9.3,5,1,1,1,43.849269,Very High,High,1,21,868.251204,1633.403129,158.132237,360.406117
SEN,Senegal,0.51,2,1,0,0,16.74393,Medium,High,0,0,0,0,0,0
SLV,El Salvador,0.64,3,0,0,0,6.486201,Medium,Medium,0,0,0,0,0,0
SOM,Somalia,5.3,5,1,1,1,15.893219,Very High,Very High,1,21,830.259335,1009.926527,0,0
SSD,South Sudan,7.2,4,1,1,1,11.193729,Very High,Very High,1,10,1234.467775,1900.799964,0,0
SWZ,Swaziland,0.37,4,1,0,0,1.160164,Medium,High,0,0,0,0,0,0
SYR,Syrian Arab Republic,11.71,5,1,1,1,17.500657,Very High,Medium,1,9,2224.563879,3817.532832,0,0
TCD,Chad,6.4,4,1,1,1,16.425859,Very High,Very High,1,17,288.39795,664.64116,11.479728,15.721987
THA,Thailand,0.09,3,0,1,1,69.799978,Medium,Medium,0,0,0,0,0,0
TTO,Trinidad and Tobago,0.06,1,0,0,1,1.399491,Low,Medium,0,0,0,0,0,14.273376
TUN,Tunisia,0,0,0,0,1,11.818618,Low,Medium,0,0,0,0,0,0
TUR,Turkey,2.66,3,0,1,1,84.339067,High,Medium,1,9,0,0,0,1302.41856
TZA,"Tanzania, United Republic of",0.29,1,1,0,1,59.734213,High,High,1,7,19.017877,158.874105,86.852035,258.87873
UGA,Uganda,1.69,3,1,0,1,45.741,Very High,High,1,7,29.951056,200.157127,202.185342,849.045811
UKR,Ukraine,3.5,4,0,1,0,43.733759,Medium,Medium,1,7,128.071981,204.653234,0,0
VEN,Venezuela (Bolivarian Republic of),14.32,3,0,0,1,28.435943,Medium,Medium,0,3,164.122246,762.509363,0,0
VNM,Viet Nam,0.18,2,1,0,0,97.338583,Medium,Medium,0,0,0,0,0,0
VUT,Vanuatu,0,3,1,0,0,0.30715,Medium,High,0,0,0,0,0,0
YEM,Yemen,24.16,4,1,1,1,29.825968,Very High,High,1,13,1948.438615,3382.681703,0,0
ZMB,Zambia,2.28,3,1,0,0,18.383956,Medium,High,0,3,41.165752,215.149947,10.41596,74.832609
ZWE,Zimbabwe,7,3,1,0,1,14.862927,High,High,0,2,209.826383,800.770933,0,0
